Timestamp,Which of the following best describe(s) how you think of yourself? (Please note that this survey is intended for people who are not just men all the time or just women all the time.),"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?","Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you?",Feedback
09/02/2015 12:49:19,"Agender, Androgyne, Genderqueer, Nonbinary, Questioning or unknown, Transgender",No title at all,"He/him, They/them (singular they)",
09/02/2015 12:49:59,"Fluid gender/genderfluid, Questioning or unknown",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:53:25,"Bigender, Genderqueer, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:58:40,Transgender,Miss,"She/her, They/them (singular they)",
09/02/2015 13:10:22,"Genderqueer, Nonbinary",Mx,They/them (singular they),
09/02/2015 13:11:48,"Agender, Neutral, Nonbinary",Mx,"None/avoid pronouns, They/them (singular they)",
09/02/2015 13:11:55,"Neutral, Neutrois, Nonbinary, Trans",No title at all,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 13:14:43,"Neutral, Nonbinary",No title at all,None/avoid pronouns,
09/02/2015 13:16:49,Agender,No title at all,Any,
09/02/2015 13:21:49,"Agender, Nonbinary, Trans",No title at all,It/that,
09/02/2015 13:24:11,"Trans, Transgender",Miss,She/her,
09/02/2015 13:27:56,"Man, Nonbinary, Trans, Trans*, Female/DFAB",Mx,Xe/xmen/xyr but distinctly NOT zie pronouns,
09/02/2015 13:31:11,"Genderqueer, Man, Trans, Trans*, femme",No title at all,"He/him, None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 13:31:18,"Agender, Bigender, Cisgender, Fluid gender/genderfluid, Nonbinary, Trans, Demi-abrevigender",Miss,"She/her, They/them (singular they)",
09/02/2015 13:32:01,Agender,No title at all,Any,
09/02/2015 13:32:24,"Genderqueer, Man, Nonbinary, Questioning or unknown, Trans, transsexual",Mr,He/him,
09/02/2015 13:34:42,Genderqueer,No title at all,They/them (singular they),
09/02/2015 13:38:12,,,"Questioning or unknown, She/her, They/them (singular they), Zie/hir, or some variation thereof",Why isn't butch listed as a non binary gender? It is like we don't exsist :(
09/02/2015 13:39:39,"Agender, Cisgender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans*, Woman",No title at all,"Zie/hir, or some variation thereof",
09/02/2015 13:50:59,Transfeminine,Mx,"She/her, They/them (singular they)",
09/02/2015 13:52:50,Nonbinary,No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 13:53:41,Nonbinary,Mx,"None/avoid pronouns, Questioning or unknown, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 14:01:41,"Cisgender, Genderqueer, Nonbinary, Questioning or unknown, Woman",Mx,"She/her, They/them (singular they), any gender-neutral that became commonly understood",
09/02/2015 14:11:52,Fluid gender/genderfluid,Mx,They/them (singular they),
09/02/2015 14:13:28,"Fluid gender/genderfluid, Genderqueer, Questioning or unknown",Mx,"He/him, Questioning or unknown, They/them (singular they)",
09/02/2015 14:23:08,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), They/them (singular they)",
09/02/2015 14:33:57,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans*",Mr,He/him,
09/02/2015 14:37:19,Questioning or unknown,No title at all,They/them (singular they),
09/02/2015 14:41:52,"Transgender, Woman",No title at all,None/avoid pronouns,
09/02/2015 14:49:58,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",Mx,"She/her, They/them (singular they)",
09/02/2015 14:50:55,"Fluid gender/genderfluid, Man, Trans*",No title at all,They/them (singular they),
09/02/2015 14:53:42,"Agender, Nonbinary, Trans, Trans*, Transgender, Transmasculine",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 15:00:30,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans, Trans*, Transgender",No title at all,They/them (singular they),
09/02/2015 15:00:40,"Agender, Genderqueer, Woman",No title at all,They/them (singular they),
09/02/2015 15:01:57,Agender,Ms,Any,
09/02/2015 15:04:27,"Fluid gender/genderfluid, Genderqueer, Intergender, Man, Nonbinary, Trans*, Transgender, Woman",Mx,"He/him, She/her, They/them (singular they)",
09/02/2015 15:12:42,"Agender, Neutrois, Nonbinary, Transgender",Mx,They/them (singular they),
09/02/2015 15:13:50,Genderqueer,No title at all,Any,
09/02/2015 15:20:07,Agender,Mx,They/them (singular they),
09/02/2015 15:25:11,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"Any, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:28:56,Man,Mr,He/him,
09/02/2015 15:30:19,"Agender, Neutral, Neutrois, Nonbinary, Trans, Transgender",No title at all,"He/him, They/them (singular they), Xe/xey",
09/02/2015 15:31:00,"Transgender, Woman",Ms,She/her,
09/02/2015 15:32:50,"Agender, Androgyne, Fluid gender/genderfluid, Neutral, Neutrois, Nonbinary, Trans, Transgender",Mx,"None/avoid pronouns, They/them (singular they)",
09/02/2015 15:38:13,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",Mx,Questioning or unknown,
09/02/2015 15:42:24,"Genderqueer, Neutral, Nonbinary, Trans, Trans*",No title at all,They/them (singular they),
09/02/2015 15:44:41,"Nonbinary, Trans, Transgender, Genderflux, Videgender",No title at all,"Ey/em (Spivak), He/him, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:45:33,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans*, Transgender",Mx,"None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:48:07,"Agender, Neutral, Neutrois, Nonbinary, Trans, Transgender",Mre (Pronounced 'Mystery'),Fae/Faer/Faerself,n/a
09/02/2015 15:49:51,Fluid gender/genderfluid,Misc,They/them (singular they),
09/02/2015 15:50:38,"Androgyne, Genderqueer, Intergender, Woman",Mx,"She/her, They/them (singular they)",
09/02/2015 15:53:11,Genderqueer,No title at all,They/them (singular they),
09/02/2015 15:53:12,"Agender, Genderqueer, Nonbinary, Trans*, Transgender",Mx,"Ey/em (Spivak), None/avoid pronouns, They/them (singular they)","In terms of titles: it might be helpful to have 'dr' as a listed option? Also I'm not sure why you can only select one option for that question, I think it would be more helpful if you were able to choose as many as you felt applied."
09/02/2015 15:55:55,"Fluid gender/genderfluid, Transgender, polygender",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 16:07:05,Fluid gender/genderfluid,Mx,They/them (singular they),
09/02/2015 16:07:18,"Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender",Mx,"Ey/em (Spivak), They/them (singular they)",
09/02/2015 16:07:59,"Genderqueer, Nonbinary, Questioning or unknown, Trans*, Transgender, Woman",No title at all,"Questioning or unknown, They/them (singular they)",
09/02/2015 16:08:08,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,"Any, None/avoid pronouns, They/them (singular they)",
09/02/2015 16:15:56,"Bigender, Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary",Mx,She/her,
09/02/2015 16:26:07,"Bigender, Genderqueer, Intergender, Neutral, Nonbinary, Third Gender, Transgender, Woman",Mx,They/them (singular they),
09/02/2015 16:30:59,"Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Intergender, Man, Neutral, Nonbinary, Trans, Transgender, Woman, both-neither",No title at all,Any,
09/02/2015 16:33:50,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,Any,
09/02/2015 16:58:19,"Agender, Neutrois, Nonbinary, Trans",Mir,"They/them (singular they), vae/vem/vaer",
09/02/2015 17:00:00,"Androgyne, Bigender, Man, Nonbinary, Trans*, Transgender",Mr,"He/him, They/them (singular they)",
09/02/2015 17:04:52,"Agender, Neutral, Nonbinary, Questioning or unknown",Mx,They/them (singular they),
09/02/2015 17:13:48,"Agender, Androgyne, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Transgender",No title at all,"Ey/em (Spivak), None/avoid pronouns, They/them (singular they)",noice
09/02/2015 17:16:00,"Fluid gender/genderfluid, Nonbinary, Trans, Woman, aliagender",Mx,"She/her, They/them (singular they)",
09/02/2015 17:17:41,"Androgyne, Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary, Trans, Trans*, Woman",No title at all,"Questioning or unknown, She/her, They/them (singular they), eep something in-between she and they?",
09/02/2015 17:22:49,"Neutral, Questioning or unknown, Woman",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 17:23:55,"Genderqueer, Man, Nonbinary, Transgender",No title at all,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 17:25:43,"Agender, Nonbinary, Trans*",Mx,They/them (singular they),
09/02/2015 17:25:48,"Fluid gender/genderfluid, Genderqueer",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 17:26:57,"Agender, Questioning or unknown",No title at all,They/them (singular they),
09/02/2015 17:45:10,Fluid gender/genderfluid,Mx,She/he,
09/02/2015 17:50:22,"Agender, Man, Questioning or unknown",Mr,"He/him, They/them (singular they)",
09/02/2015 17:54:56,Woman,No title at all,She/her,
09/02/2015 17:59:36,Fluid gender/genderfluid,No title at all,Any,
09/02/2015 18:02:04,"Agender, Fluid gender/genderfluid, Genderqueer, Trans, Woman",Miss,She/her,
09/02/2015 18:10:15,"Agender, Nonbinary",Mx,"None/avoid pronouns, They/them (singular they)",
09/02/2015 18:21:01,"Neutral, Neutrois",No title at all,"Any, They/them (singular they)",
09/02/2015 18:31:58,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Transgender",Mx,They/them (singular they),
09/02/2015 18:33:51,Woman,Lady of the admiralty ,She/her,
09/02/2015 18:38:41,"Genderqueer, Nonbinary, Trans, Transgender",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 18:39:18,"Agender, Nonbinary, Transgender",Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof, xe/xem",
09/02/2015 18:51:15,Transgender,No title at all,He/him,
09/02/2015 18:52:43,"Bigender, Nonbinary, Demiboy",Mx,"He/him, They/them (singular they)",
09/02/2015 18:53:20,Nonbinary,Mx,They/them (singular they),
09/02/2015 18:55:59,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman, Demi/Nan0girl",Miss,Any,
09/02/2015 19:00:27,"Nonbinary, Questioning or unknown, Transgender",Mx,"He/him, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 19:01:23,"Agender, Fluid gender/genderfluid, Genderqueer",Ms,"She/her, They/them (singular they)",
09/02/2015 19:10:23,"Androgyne, Fluid gender/genderfluid, Nonbinary, Questioning or unknown",Mr,"Any, He/him, They/them (singular they)",
09/02/2015 19:31:27,"Man, Neutral, Questioning or unknown",No title at all,"He/him, None/avoid pronouns, They/them (singular they)",
09/02/2015 19:35:30,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans",Mx,They/them (singular they),
09/02/2015 19:36:10,Fluid gender/genderfluid,No title at all,They/them (singular they),
09/02/2015 19:38:14,Nonbinary,No title at all,They/them (singular they),
09/02/2015 19:42:16,"Fluid gender/genderfluid, Neutral, Nonbinary, Trans*",No title at all,They/them (singular they),
09/02/2015 19:46:19,"Androgyne, Genderqueer, Nonbinary, Questioning or unknown, demigirl",No title at all,"She/her, They/them (singular they)",
09/02/2015 19:55:42,"Androgyne, Genderqueer, Nonbinary",No title at all,"Any, He/him, They/them (singular they)",
09/02/2015 19:58:30,"Androgyne, Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary, Questioning or unknown, Trans, Trans*, Transgender",Mx,"He/him, They/them (singular they)",
09/02/2015 20:01:47,"Agender, Genderqueer, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 20:05:20,Agender,No title at all,Any,
09/02/2015 20:18:50,Trans*,Mr,"He/him, They/them (singular they)",
09/02/2015 20:22:49,"Agender, Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender",No title at all,"Any, He/him, They/them (singular they), Zie/hir, or some variation thereof","Re pronouns: ""she"" is acceptable only with some people and in some situations. I would rather strangers never used ""she"" for me."
09/02/2015 20:29:37,Fluid gender/genderfluid,Mx,They/them (singular they),
09/02/2015 20:31:05,"Nonbinary, Trans, Transgender, Demiboy",Mx,"He/him, They/them (singular they), xe/xem/xir",
09/02/2015 20:31:12,Nonbinary,No title at all,They/them (singular they),
09/02/2015 20:32:05,"Genderqueer, Trans, Transgender, Woman",Mx,"He/him, Xe/Xem/Xir",
09/02/2015 20:32:56,Transgender,Mr,He/him,
09/02/2015 20:36:31,Agender,Mx,They/them (singular they),
09/02/2015 20:40:31,Man,Mr,He/him,
09/02/2015 20:41:30,"Genderqueer, Man, Neutral, Third Gender, Trans",No title at all,"Co/co, Ey/em (Spivak), He/him, They/them (singular they), Zie/hir, or some variation thereof, Xe/xem",The survey was helpful and user friendly
09/02/2015 20:44:00,"Agender, Nonbinary, Trans*",Mx,They/them (singular they),
09/02/2015 20:46:00,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,They/them (singular they),:)
09/02/2015 20:52:40,"Fluid gender/genderfluid, Genderqueer, Man, Trans, Transgender, Woman",Mx,"He/him, She/her, They/them (singular they)",
09/02/2015 20:56:23,Woman,Miss,Any,
09/02/2015 20:57:23,"Fluid gender/genderfluid, Man, Neutral, Nonbinary, Questioning or unknown, Woman",Mr,"He/him, She/her, They/them (singular they)",
09/02/2015 20:58:23,"Fluid gender/genderfluid, Neutral, Nonbinary, Trans, Trans*, Transgender",Mx,Xem/Xe/Xyr,This was fun. Thanks for the opportunity. 
09/02/2015 20:59:01,"Agender, Fluid gender/genderfluid, Nonbinary, Woman, Demigirl",Mx,"She/her, They/them (singular they)","ms or mx for the title, but hopefully Dr soon!"
09/02/2015 21:02:36,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman, Tomboy",No title at all,"She/her, They/them (singular they)",
09/02/2015 21:03:35,Genderqueer,Mx,xe/xem,
09/02/2015 21:04:32,Genderqueer,No title at all,They/them (singular they),
09/02/2015 21:07:03,"Genderqueer, Man, Trans*",No title at all,"He/him, They/them (singular they)",
09/02/2015 21:07:22,Agender,Ms,"He/him, She/her",
09/02/2015 21:10:16,"Androgyne, Genderqueer, Nonbinary",No title at all,Any,
09/02/2015 21:13:41,Man,Mr,He/him,
09/02/2015 21:13:47,"Fluid gender/genderfluid, Genderqueer",Miss,She/her,
09/02/2015 21:13:49,Nonbinary,Mx,They/them (singular they),
09/02/2015 21:15:13,"Fluid gender/genderfluid, Genderqueer",No title at all,They/them (singular they),
09/02/2015 21:18:02,"Bigender, Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary",Mx,They/them (singular they),
09/02/2015 21:19:35,"Genderqueer, Nonbinary, Trans",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 21:21:55,"Agender, Fluid gender/genderfluid, Nonbinary, Woman",Ms,She/her,
09/02/2015 21:22:25,"Fluid gender/genderfluid, Genderqueer, Intergender",No title at all,Any,
09/02/2015 21:23:14,"Neutral, Nonbinary",Misc,They/them (singular they),
09/02/2015 21:23:26,"Genderqueer, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
09/02/2015 21:27:40,"Man, Trans, Transgender",Mr,He/him,
09/02/2015 21:30:58,"Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary",Mx,"Any, They/them (singular they)",
09/02/2015 21:32:26,"Man, Questioning or unknown, Transhuman",No title at all,They/them (singular they),
09/02/2015 21:42:40,Nonbinary,No title at all,Any,
09/02/2015 21:42:45,"Man, Neutral",No title at all,They/them (singular they),"Gender, like sexual orientation, should be viewed as a spectrum. There will always be people who are excluded by pronoun criteria but nobody is excluded from the spectrum."
09/02/2015 21:48:02,Androgyne,No title at all,"Co/co, Ey/em (Spivak), He/him, Questioning or unknown, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 21:49:05,"Androgyne, Nonbinary",No title at all,"It/that, They/them (singular they)",
09/02/2015 21:49:41,Man,Mr,"He/him, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 21:52:41,"Nonbinary, Trans, Woman",No title at all,They/them (singular they),
09/02/2015 21:56:34,"Genderqueer, Nonbinary, Trans, Demi boy, Trans boy",No title at all,"It/that, They/them (singular they), Per",
09/02/2015 21:57:24,"Genderqueer, Nonbinary, Trans*, Transgender",Mx,"Any, Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 22:03:36,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",Mx,"She/her, They/them (singular they)",
